ID,Subfolder,Filename,File_Location,Test_Start_Date,Test_Start_Time,00000140_Insertion_count,00008000_Status_Test,00000130_Tot_Test_time,00003080_,00003080_Serial_Block
1213,log ftp\00080000\0100,00080133-00271103-20241104075145-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080133-00271103-20241104075145-P.log,2024-11-04,07:50:14,265,Test Passed,91[s],Download SerialInput Start,
1214,log ftp\00080000\0100,00080157-00271103-20241104075530-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080157-00271103-20241104075530-P.log,2024-11-04,07:53:58,267,Test Passed,91[s],Download SerialInput Start,
1215,log ftp\00080000\0100,00080163-00271103-20241104073332-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080163-00271103-20241104073332-F.log,2024-11-04,07:33:06,257,,26[s],,
1216,log ftp\00080000\0100,00080163-00271103-20241104074205-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080163-00271103-20241104074205-P.log,2024-11-04,07:40:34,261,Test Passed,91[s],Download SerialInput Start,
1217,log ftp\00080000\0100,00080167-00271103-20241104074359-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080167-00271103-20241104074359-P.log,2024-11-04,07:42:27,262,Test Passed,91[s],Download SerialInput Start,
1218,log ftp\00080000\0100,00080168-00271103-20241104075723-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080168-00271103-20241104075723-P.log,2024-11-04,07:55:52,268,Test Passed,91[s],Download SerialInput Start,
1219,log ftp\00080000\0100,00080178-00271103-20241104075337-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080178-00271103-20241104075337-P.log,2024-11-04,07:52:06,266,Test Passed,91[s],Download SerialInput Start,
1220,log ftp\00080000\0100,00080191-00271103-20241102060849-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080191-00271103-20241102060849-P.log,2024-11-02,06:07:18,255,Test Passed,91[s],Download SerialInput Start,
1221,log ftp\00080000\0100,00080195-00271103-20241106083002-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080195-00271103-20241106083002-P.log,2024-11-06,08:28:17,20,Test Passed,105[s],Download SerialInput Start,
1222,log ftp\00080000\0100,00080196-00271103-20241102060637-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080196-00271103-20241102060637-P.log,2024-11-02,06:05:00,254,Test Passed,96[s],Download SerialInput Start,
1223,log ftp\00080000\0100,00080197-00271103-20241106083135-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0100\00080197-00271103-20241106083135-P.log,2024-11-06,08:30:04,282,Test Passed,91[s],Download SerialInput Start,
1224,log ftp\00080000\0200,00080202-00271103-20241104073813-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080202-00271103-20241104073813-P.log,2024-11-04,07:36:42,259,Test Passed,91[s],Download SerialInput Start,
1225,log ftp\00080000\0200,00080251-00371105-20241106090020-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080251-00371105-20241106090020-P.log,2024-11-06,08:58:51,157,Test Passed,89.2[s],Download SerialInput,
1226,log ftp\00080000\0200,00080255-00371105-20241106090144-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080255-00371105-20241106090144-P.log,2024-11-06,09:00:12,28,Test Passed,92.4[s],Download SerialInput,
1227,log ftp\00080000\0200,00080274-00371105-20241106085241-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080274-00371105-20241106085241-P.log,2024-11-06,08:51:18,24,Test Passed,82.7[s],Download SerialInput,
1228,log ftp\00080000\0200,00080279-00371105-20241106084904-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080279-00371105-20241106084904-P.log,2024-11-06,08:47:35,152,Test Passed,89.1[s],Download SerialInput,
1229,log ftp\00080000\0200,00080282-00371105-20241106084550-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080282-00371105-20241106084550-P.log,2024-11-06,08:44:27,21,Test Passed,82.7[s],Download SerialInput,
1230,log ftp\00080000\0200,00080287-00371105-20241106084640-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080287-00371105-20241106084640-P.log,2024-11-06,08:45:22,151,Test Passed,78.9[s],Download SerialInput,
1231,log ftp\00080000\0200,00080288-00371105-20241106084809-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080288-00371105-20241106084809-P.log,2024-11-06,08:46:46,22,Test Passed,82.8[s],Download SerialInput,
1232,log ftp\00080000\0200,00080290-00371105-20241106085710-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080290-00371105-20241106085710-P.log,2024-11-06,08:55:38,26,Test Passed,92.5[s],Download SerialInput,
1233,log ftp\00080000\0200,00080291-00371105-20241106085333-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080291-00371105-20241106085333-P.log,2024-11-06,08:51:55,154,Test Passed,98.7[s],Download SerialInput,
1234,log ftp\00080000\0200,00080296-00371105-20241106085029-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080296-00371105-20241106085029-P.log,2024-11-06,08:48:57,23,Test Passed,92.4[s],Download SerialInput,
1235,log ftp\00080000\0200,00080297-00371105-20241106085116-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0200\00080297-00371105-20241106085116-P.log,2024-11-06,08:49:48,153,Test Passed,88.9[s],Download SerialInput,
1236,log ftp\00080000\0300,00080300-00371105-20241106085807-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080300-00371105-20241106085807-P.log,2024-11-06,08:56:29,156,Test Passed,98.8[s],Download SerialInput,
1237,log ftp\00080000\0300,00080306-00371105-20241106085548-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080306-00371105-20241106085548-P.log,2024-11-06,08:54:19,155,Test Passed,89.0[s],Download SerialInput,
1238,log ftp\00080000\0300,00080321-00371105-20241106083803-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080321-00371105-20241106083803-F.log,2024-11-06,08:36:40,149,,83.3[s],Download SerialInput,
1239,log ftp\00080000\0300,00080321-00371105-20241106084433-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080321-00371105-20241106084433-P.log,2024-11-06,08:43:19,150,Test Passed,78.9[s],Download SerialInput,
1240,log ftp\00080000\0300,00080324-00371105-20241106090449-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080324-00371105-20241106090449-P.log,2024-11-06,09:03:20,159,Test Passed,88.8[s],Download SerialInput,
1241,log ftp\00080000\0300,00080326-00371105-20241106090239-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080326-00371105-20241106090239-P.log,2024-11-06,09:01:10,158,Test Passed,88.9[s],Download SerialInput,
1242,log ftp\00080000\0300,00080327-00371105-20241106085456-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080327-00371105-20241106085456-P.log,2024-11-06,08:53:24,25,Test Passed,92.0[s],Download SerialInput,
1243,log ftp\00080000\0300,00080336-00371105-20241106090409-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080336-00371105-20241106090409-P.log,2024-11-06,09:02:27,29,Test Passed,102.8[s],Download SerialInput,
1244,log ftp\00080000\0300,00080347-00371105-20241106085927-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\00080000\0300\00080347-00371105-20241106085927-P.log,2024-11-06,08:57:54,27,Test Passed,92.6[s],Download SerialInput,
1245,log ftp\11030000\7800,11037810-00271103-20241104080445-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104080445-P.log,2024-11-04,08:03:15,269,Test Passed,90[s],Download SerialInput Start,
1246,log ftp\11030000\7800,11037810-00271103-20241104081738-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104081738-P.log,2024-11-04,08:15:43,68,Test Passed,115[s],Download SerialInput Start,
1247,log ftp\11030000\7800,11037810-00271103-20241104081931-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104081931-P.log,2024-11-04,08:18:01,69,Test Passed,90[s],Download SerialInput Start,
1248,log ftp\11030000\7800,11037810-00271103-20241104082128-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104082128-P.log,2024-11-04,08:19:57,71,Test Passed,90[s],Download SerialInput Start,
1249,log ftp\11030000\7800,11037810-00271103-20241104082401-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104082401-P.log,2024-11-04,08:22:25,72,Test Passed,95[s],Download SerialInput Start,
1250,log ftp\11030000\7800,11037810-00271103-20241104082653-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104082653-P.log,2024-11-04,08:25:06,270,Test Passed,106[s],Download SerialInput Start,
